Token: VAL | Lexema: val | Linea: 8
Token: POTENCIA | Lexema: pot | Linea: 94
Token: ID | Lexema: numeroB | Linea: 94
Token: FIN_EXPR | Lexema: » | Linea: 94
Token: ID | Lexema: suma | Linea: 96
Token: INCREMENTO | Lexema: ++ | Linea: 96
Token: FIN_EXPR | Lexema: » | Linea: 96
Token: ID | Lexema: resta | Linea: 97
Token: DECREMENTO | Lexema: -- | Linea: 97
Token: FIN_EXPR | Lexema: » | Linea: 97
Token: WRITE | Lexema: write | Linea: 99
Token: PAR_INI | Lexema: є: | Linea: 99
Token: ID | Lexema: suma | Linea: 99
Token: PAR_FIN | Lexema: :э | Linea: 99
Token: FIN_EXPR | Lexema: » | Linea: 99
Token: WRITE | Lexema: write | Linea: 100
Token: PAR_INI | Lexema: є: | Linea: 100
Token: ID | Lexema: resta | Linea: 100
Token: PAR_FIN | Lexema: :э | Linea: 100
Token: FIN_EXPR | Lexema: » | Linea: 100
Token: WRITE | Lexema: write | Linea: 101
Token: PAR_INI | Lexema: є: | Linea: 101
Token: ID | Lexema: multiplicacion | Linea: 101
Token: PAR_FIN | Lexema: :э | Linea: 101
Token: FIN_EXPR | Lexema: » | Linea: 101
Token: WRITE | Lexema: write | Linea: 102
Token: PAR_INI | Lexema: є: | Linea: 102
Token: ID | Lexema: division | Linea: 102
Token: PAR_FIN | Lexema: :э | Linea: 102
Token: FIN_EXPR | Lexema: » | Linea: 102
Token: WRITE | Lexema: write | Linea: 103
Token: PAR_INI | Lexema: є: | Linea: 103
Token: ID | Lexema: residuo | Linea: 103
Token: PAR_FIN | Lexema: :э | Linea: 103
Token: FIN_EXPR | Lexema: » | Linea: 103
Token: WRITE | Lexema: write | Linea: 104
Token: PAR_INI | Lexema: є: | Linea: 104
Token: ID | Lexema: potencia | Linea: 104
Token: PAR_FIN | Lexema: :э | Linea: 104
Token: FIN_EXPR | Lexema: » | Linea: 104
Token: RETURN | Lexema: return | Linea: 106
Token: ID | Lexema: suma | Linea: 106
Token: FIN_EXPR | Lexema: » | Linea: 106
Token: BLOQUE_FIN | Lexema: :? | Linea: 108
Token: INT | Lexema: int | Linea: 114
Token: ID | Lexema: clasificar | Linea: 114
Token: PAR_INI | Lexema: є: | Linea: 114
Token: INT | Lexema: int | Linea: 114
Token: ID | Lexema: numero | Linea: 114
Token: PAR_FIN | Lexema: :э | Linea: 114
Token: BLOQUE_INI | Lexema: ¿: | Linea: 114
Token: VAL | Lexema: val | Linea: 116
Token: INT | Lexema: int | Linea: 116
Token: ID | Lexema: resultado | Linea: 116
Token: ASIGNACION | Lexema: Ͱ | Linea: 116
Token: LIT_INT | Lexema: 0 | Linea: 116
Token: FIN_EXPR | Lexema: » | Linea: 116
Token: IF | Lexema: if | Linea: 118
Token: PAR_INI | Lexema: є: | Linea: 118
Token: COR_INI | Lexema: ʃ: | Linea: 118
Token: ID | Lexema: numero | Linea: 118
Token: COR_FIN | Lexema: :ʅ | Linea: 118
Token: MENOR | Lexema: < | Linea: 118
Token: COR_INI | Lexema: ʃ: | Linea: 118
Token: LIT_INT | Lexema: 10 | Linea: 118
Token: COR_FIN | Lexema: :ʅ | Linea: 118
Token: PAR_FIN | Lexema: :э | Linea: 118
Token: BLOQUE_INI | Lexema: ¿: | Linea: 118
Token: ID | Lexema: resultado | Linea: 120
Token: ASIGNACION | Lexema: Ͱ | Linea: 120
Token: LIT_INT | Lexema: 1 | Linea: 120
Token: FIN_EXPR | Lexema: » | Linea: 120
Token: WRITE | Lexema: write | Linea: 121
Token: PAR_INI | Lexema: є: | Linea: 121
Token: LIT_STRING | Lexema: "Menor" | Linea: 121
Token: PAR_FIN | Lexema: :э | Linea: 121
Token: FIN_EXPR | Lexema: » | Linea: 121
Token: BLOQUE_FIN | Lexema: :? | Linea: 123
Token: ELIF | Lexema: elif | Linea: 125
Token: PAR_INI | Lexema: є: | Linea: 125
Token: COR_INI | Lexema: ʃ: | Linea: 125
Token: ID | Lexema: numero | Linea: 125
Token: COR_FIN | Lexema: :ʅ | Linea: 125
Token: IGUAL | Lexema: == | Linea: 125
Token: COR_INI | Lexema: ʃ: | Linea: 125
Token: LIT_INT | Lexema: 10 | Linea: 125
Token: COR_FIN | Lexema: :ʅ | Linea: 125
Token: PAR_FIN | Lexema: :э | Linea: 125
Token: BLOQUE_INI | Lexema: ¿: | Linea: 125
Token: ID | Lexema: resultado | Linea: 127
Token: ASIGNACION | Lexema: Ͱ | Linea: 127
Token: LIT_INT | Lexema: 2 | Linea: 127
Token: FIN_EXPR | Lexema: » | Linea: 127
Token: WRITE | Lexema: write | Linea: 128
Token: PAR_INI | Lexema: є: | Linea: 128
Token: LIT_STRING | Lexema: "Igual" | Linea: 128
Token: PAR_FIN | Lexema: :э | Linea: 128
Token: FIN_EXPR | Lexema: » | Linea: 128
Token: BLOQUE_FIN | Lexema: :? | Linea: 130
Token: ELSE | Lexema: else | Linea: 132
Token: BLOQUE_INI | Lexema: ¿: | Linea: 132
Token: ID | Lexema: resultado | Linea: 134
Token: ASIGNACION | Lexema: Ͱ | Linea: 134
Token: LIT_INT | Lexema: 3 | Linea: 134
Token: FIN_EXPR | Lexema: » | Linea: 134
Token: WRITE | Lexema: write | Linea: 135
Token: PAR_INI | Lexema: є: | Linea: 135
Token: LIT_STRING | Lexema: "Mayor" | Linea: 135
Token: PAR_FIN | Lexema: :э | Linea: 135
Token: FIN_EXPR | Lexema: » | Linea: 135
Token: BLOQUE_FIN | Lexema: :? | Linea: 137
Token: RETURN | Lexema: return | Linea: 139
Token: ID | Lexema: resultado | Linea: 139
Token: FIN_EXPR | Lexema: » | Linea: 139
Token: BLOQUE_FIN | Lexema: :? | Linea: 141
Token: INT | Lexema: int | Linea: 147
Token: ID | Lexema: contar | Linea: 147
Token: PAR_INI | Lexema: є: | Linea: 147
Token: INT | Lexema: int | Linea: 147
Token: ID | Lexema: limite | Linea: 147
Token: PAR_FIN | Lexema: :э | Linea: 147
Token: BLOQUE_INI | Lexema: ¿: | Linea: 147
Token: VAL | Lexema: val | Linea: 149
Token: INT | Lexema: int | Linea: 149
Token: ID | Lexema: contador | Linea: 149
Token: ASIGNACION | Lexema: Ͱ | Linea: 149
Token: LIT_INT | Lexema: 0 | Linea: 149
Token: FIN_EXPR | Lexema: » | Linea: 149
Token: WHILE | Lexema: while | Linea: 151
Token: PAR_INI | Lexema: є: | Linea: 151
Token: COR_INI | Lexema: ʃ: | Linea: 151
Token: ID | Lexema: contador | Linea: 151
Token: COR_FIN | Lexema: :ʅ | Linea: 151
Token: MENOR | Lexema: < | Linea: 151
Token: COR_INI | Lexema: ʃ: | Linea: 151
Token: ID | Lexema: limite | Linea: 151
Token: COR_FIN | Lexema: :ʅ | Linea: 151
Token: PAR_FIN | Lexema: :э | Linea: 151
Token: BLOQUE_INI | Lexema: ¿: | Linea: 151
Token: WRITE | Lexema: write | Linea: 153
Token: PAR_INI | Lexema: є: | Linea: 153
Token: ID | Lexema: contador | Linea: 153
Token: PAR_FIN | Lexema: :э | Linea: 153
Token: FIN_EXPR | Lexema: » | Linea: 153
Token: ID | Lexema: contador | Linea: 155
Token: INCREMENTO | Lexema: ++ | Linea: 155
Token: FIN_EXPR | Lexema: » | Linea: 155
Token: BLOQUE_FIN | Lexema: :? | Linea: 157
Token: RETURN | Lexema: return | Linea: 159
Token: ID | Lexema: contador | Linea: 159
Token: FIN_EXPR | Lexema: » | Linea: 159
Token: BLOQUE_FIN | Lexema: :? | Linea: 161
Token: INT | Lexema: int | Linea: 167
Token: ID | Lexema: recorrer | Linea: 167
Token: PAR_INI | Lexema: є: | Linea: 167
Token: INT | Lexema: int | Linea: 167
Token: ID | Lexema: limite | Linea: 167
Token: PAR_FIN | Lexema: :э | Linea: 167
Token: BLOQUE_INI | Lexema: ¿: | Linea: 167
Token: VAL | Lexema: val | Linea: 169
Token: INT | Lexema: int | Linea: 169
Token: ID | Lexema: acumulador | Linea: 169
Token: ASIGNACION | Lexema: Ͱ | Linea: 169
Token: LIT_INT | Lexema: 0 | Linea: 169
Token: FIN_EXPR | Lexema: » | Linea: 169
Token: FOR | Lexema: for | Linea: 171
Token: PAR_INI | Lexema: є: | Linea: 171
Token: VAL | Lexema: val | Linea: 171
Token: INT | Lexema: int | Linea: 171
Token: ID | Lexema: i | Linea: 171
Token: ASIGNACION | Lexema: Ͱ | Linea: 171
Token: LIT_INT | Lexema: 0 | Linea: 171
Token: FIN_EXPR | Lexema: » | Linea: 171
Token: COR_INI | Lexema: ʃ: | Linea: 171
Token: ID | Lexema: i | Linea: 171
Token: COR_FIN | Lexema: :ʅ | Linea: 171
Token: MENOR | Lexema: < | Linea: 171
Token: COR_INI | Lexema: ʃ: | Linea: 171
Token: ID | Lexema: limite | Linea: 171
Token: COR_FIN | Lexema: :ʅ | Linea: 171
Token: FIN_EXPR | Lexema: » | Linea: 171
Token: ID | Lexema: i | Linea: 171
Token: INCREMENTO | Lexema: ++ | Linea: 171
Token: PAR_FIN | Lexema: :э | Linea: 171
Token: BLOQUE_INI | Lexema: ¿: | Linea: 171
Token: ID | Lexema: acumulador | Linea: 173
Token: ASIGNACION | Lexema: Ͱ | Linea: 173
Token: ID | Lexema: acumulador | Linea: 173
Token: SUMA | Lexema: + | Linea: 173
Token: ID | Lexema: i | Linea: 173
Token: FIN_EXPR | Lexema: » | Linea: 173
Token: WRITE | Lexema: write | Linea: 175
Token: PAR_INI | Lexema: є: | Linea: 175
Token: ID | Lexema: i | Linea: 175
Token: PAR_FIN | Lexema: :э | Linea: 175
Token: FIN_EXPR | Lexema: » | Linea: 175
Token: BLOQUE_FIN | Lexema: :? | Linea: 177
Token: RETURN | Lexema: return | Linea: 179
Token: ID | Lexema: acumulador | Linea: 179
Token: FIN_EXPR | Lexema: » | Linea: 179
Token: BLOQUE_FIN | Lexema: :? | Linea: 181
Token: INT | Lexema: int | Linea: 187
Token: ID | Lexema: trabajarArreglo | Linea: 187
Token: PAR_INI | Lexema: є: | Linea: 187
Token: PAR_FIN | Lexema: :э | Linea: 187
Token: BLOQUE_INI | Lexema: ¿: | Linea: 187
Token: VAL | Lexema: val | Linea: 189
Token: INT | Lexema: int | Linea: 189
Token: ID | Lexema: datos | Linea: 189
Token: COR_INI | Lexema: ʃ: | Linea: 189
Token: LIT_INT | Lexema: 5 | Linea: 189
Token: COR_FIN | Lexema: :ʅ | Linea: 189
Token: ASIGNACION | Lexema: Ͱ | Linea: 189
Token: BLOQUE_INI | Lexema: ¿: | Linea: 189
Token: LIT_INT | Lexema: 10 | Linea: 189
Token: COMA | Lexema: , | Linea: 189
Token: LIT_INT | Lexema: 20 | Linea: 189
Token: COMA | Lexema: , | Linea: 189
Token: LIT_INT | Lexema: 30 | Linea: 189
Token: COMA | Lexema: , | Linea: 189
Token: LIT_INT | Lexema: 40 | Linea: 189
Token: COMA | Lexema: , | Linea: 189
Token: LIT_INT | Lexema: 50 | Linea: 189
Token: BLOQUE_FIN | Lexema: :? | Linea: 189
Token: VAL | Lexema: val | Linea: 191
Token: INT | Lexema: int | Linea: 191
Token: ID | Lexema: primero | Linea: 191
Token: ASIGNACION | Lexema: Ͱ | Linea: 191
Token: ID | Lexema: datos | Linea: 191
Token: COR_INI | Lexema: ʃ: | Linea: 191
Token: LIT_INT | Lexema: 0 | Linea: 191
Token: COR_FIN | Lexema: :ʅ | Linea: 191
Token: FIN_EXPR | Lexema: » | Linea: 191
Token: VAL | Lexema: val | Linea: 192
Token: INT | Lexema: int | Linea: 192
Token: ID | Lexema: segundo | Linea: 192
Token: ASIGNACION | Lexema: Ͱ | Linea: 192
Token: ID | Lexema: datos | Linea: 192
Token: COR_INI | Lexema: ʃ: | Linea: 192
Token: LIT_INT | Lexema: 1 | Linea: 192
Token: COR_FIN | Lexema: :ʅ | Linea: 192
Token: FIN_EXPR | Lexema: » | Linea: 192
Token: ID | Lexema: datos | Linea: 194
Token: COR_INI | Lexema: ʃ: | Linea: 194
Token: LIT_INT | Lexema: 2 | Linea: 194
Token: COR_FIN | Lexema: :ʅ | Linea: 194
Token: ASIGNACION | Lexema: Ͱ | Linea: 194
Token: ID | Lexema: primero | Linea: 194
Token: SUMA | Lexema: + | Linea: 194
Token: ID | Lexema: segundo | Linea: 194
Token: FIN_EXPR | Lexema: » | Linea: 194
Token: WRITE | Lexema: write | Linea: 196
Token: PAR_INI | Lexema: є: | Linea: 196
Token: ID | Lexema: primero | Linea: 196
Token: PAR_FIN | Lexema: :э | Linea: 196
Token: FIN_EXPR | Lexema: » | Linea: 196
Token: WRITE | Lexema: write | Linea: 197
Token: PAR_INI | Lexema: є: | Linea: 197
Token: ID | Lexema: segundo | Linea: 197
Token: PAR_FIN | Lexema: :э | Linea: 197
Token: FIN_EXPR | Lexema: » | Linea: 197
Token: RETURN | Lexema: return | Linea: 199
Token: ID | Lexema: datos | Linea: 199
Token: COR_INI | Lexema: ʃ: | Linea: 199
Token: LIT_INT | Lexema: 2 | Linea: 199
Token: COR_FIN | Lexema: :ʅ | Linea: 199
Token: FIN_EXPR | Lexema: » | Linea: 199
Token: BLOQUE_FIN | Lexema: :? | Linea: 201
Token: BOOL | Lexema: bool | Linea: 207
Token: ID | Lexema: validar | Linea: 207
Token: PAR_INI | Lexema: є: | Linea: 207
Token: INT | Lexema: int | Linea: 207
Token: ID | Lexema: edad | Linea: 207
Token: COMA | Lexema: , | Linea: 207
Token: BOOL | Lexema: bool | Linea: 207
Token: ID | Lexema: activo | Linea: 207
Token: PAR_FIN | Lexema: :э | Linea: 207
Token: BLOQUE_INI | Lexema: ¿: | Linea: 207
Token: VAL | Lexema: val | Linea: 209
Token: BOOL | Lexema: bool | Linea: 209
Token: ID | Lexema: mayor | Linea: 209
Token: ASIGNACION | Lexema: Ͱ | Linea: 209
Token: COR_INI | Lexema: ʃ: | Linea: 209
Token: ID | Lexema: edad | Linea: 209
Token: COR_FIN | Lexema: :ʅ | Linea: 209
Token: MAYOR_IGUAL | Lexema: >= | Linea: 209
Token: COR_INI | Lexema: ʃ: | Linea: 209
Token: LIT_INT | Lexema: 18 | Linea: 209
Token: COR_FIN | Lexema: :ʅ | Linea: 209
Token: FIN_EXPR | Lexema: » | Linea: 209
Token: VAL | Lexema: val | Linea: 211
Token: BOOL | Lexema: bool | Linea: 211
Token: ID | Lexema: resultado | Linea: 211
Token: ASIGNACION | Lexema: Ͱ | Linea: 211
Token: PAR_INI | Lexema: є: | Linea: 211
Token: ID | Lexema: mayor | Linea: 211
Token: PAR_FIN | Lexema: :э | Linea: 211
Token: AND | Lexema: λ | Linea: 211
Token: PAR_INI | Lexema: є: | Linea: 211
Token: ID | Lexema: activo | Linea: 211
Token: PAR_FIN | Lexema: :э | Linea: 211
Token: FIN_EXPR | Lexema: » | Linea: 211
Token: RETURN | Lexema: return | Linea: 213
Token: ID | Lexema: resultado | Linea: 213
Token: FIN_EXPR | Lexema: » | Linea: 213
Token: BLOQUE_FIN | Lexema: :? | Linea: 215
Token: BOOL | Lexema: bool | Linea: 221
Token: ID | Lexema: invertir | Linea: 221
Token: PAR_INI | Lexema: є: | Linea: 221
Token: BOOL | Lexema: bool | Linea: 221
Token: ID | Lexema: estado | Linea: 221
Token: PAR_FIN | Lexema: :э | Linea: 221
Token: BLOQUE_INI | Lexema: ¿: | Linea: 221
Token: VAL | Lexema: val | Linea: 223
Token: BOOL | Lexema: bool | Linea: 223
Token: ID | Lexema: resultado | Linea: 223
Token: ASIGNACION | Lexema: Ͱ | Linea: 223
